SubjID,Sess,Cond_code,Seq,FB,Form_Order,Level_Code,PreACorr,PostBCorr,PreBCorr,PostACorr,PreScore,PostScore,Gender,Race,Gain,preacorr_adj,postbcorr_adj,prebcorr_adj,postacorr_adj,Zpreacorr_adj,Zpostbcorr_adj,Zprebcorr_adj,Zpostacorr_adj,scale_prea,scale_preb,pre_scaled,scale_posta,scale_postb,post_scaled,gain_scaled,Flagged
S069,1,4,NA,NA,1,2,8,12,NA,NA,8,12,2,7,4,8,12,NA,NA,-0.0113842305,0.7486326636,NA,NA,50,NA,50,NA,63,63,13,0
S070,1,4,NA,NA,2,2,NA,NA,5,11,5,11,1,2,6,NA,NA,5,10,NA,NA,-0.7924272198,0.0370299299,NA,42,42,56,NA,56,14,0
S071,1,4,NA,NA,1,2,14,13,NA,NA,14,13,1,7,-1,13,11,NA,NA,1.4021577193,0.5001999979,NA,NA,64,NA,64,NA,60,60,-4,0
S072,1,4,NA,NA,2,2,NA,NA,9,12,9,12,1,7,3,NA,NA,8,12,NA,NA,0.1079601117,0.5788362732,NA,51,51,61,NA,61,10,0
S073,1,4,NA,NA,2,2,NA,NA,5,10,5,10,2,3,5,NA,NA,5,10,NA,NA,-0.7924272198,0.0370299299,NA,42,42,56,NA,56,14,0
S092,2,4,NA,NA,2,2,NA,NA,8,12,8,12,1,6,4,NA,NA,8,12,NA,NA,0.1079601117,0.5788362732,NA,51,51,61,NA,61,10,0
S093,2,4,NA,NA,1,2,9,8,NA,NA,9,8,2,7,-1,9,7,NA,NA,0.2713241595,-0.4935306646,NA,NA,53,NA,53,NA,48,48,-5,0
S094,2,4,NA,NA,1,2,9,8,NA,NA,9,8,2,7,-1,8,8,NA,NA,-0.0113842305,-0.245097999,NA,NA,50,NA,50,NA,51,51,1,0
S095,2,4,NA,NA,1,2,7,11,NA,NA,7,11,2,8,4,7,11,NA,NA,-0.2940926204,0.5001999979,NA,NA,47,NA,47,NA,60,60,13,0
S096,2,4,NA,NA,1,2,14,15,NA,NA,14,15,2,7,1,14,15,NA,NA,1.6848661093,1.4939306605,NA,NA,67,NA,67,NA,72,72,5,0
S115,3,4,NA,NA,2,2,NA,NA,14,11,14,11,1,8,-3,NA,NA,14,11,NA,NA,1.9087347748,0.3079331016,NA,69,69,58,NA,58,-11,0
S116,3,4,NA,NA,2,2,NA,NA,9,11,9,11,2,5,2,NA,NA,9,10,NA,NA,0.4080892222,0.0370299299,NA,54,54,56,NA,56,2,0
S117,3,4,NA,NA,2,2,NA,NA,6,11,6,11,2,6,5,NA,NA,6,10,NA,NA,-0.4922981093,0.0370299299,NA,45,45,56,NA,56,11,0
S118,3,4,NA,NA,1,2,9,9,NA,NA,9,9,2,6,0,8,8,NA,NA,-0.0113842305,-0.245097999,NA,NA,50,NA,50,NA,51,51,1,0
S137,4,4,NA,NA,1,1,14,18,NA,NA,14,18,2,7,4,14,17,NA,NA,1.6848661093,1.9907959918,NA,NA,67,NA,67,NA,78,78,11,0
S138,4,4,NA,NA,2,1,NA,NA,8,9,8,9,2,8,1,NA,NA,8,9,NA,NA,0.1079601117,-0.2338732417,NA,51,51,53,NA,53,2,0
S139,4,4,NA,NA,1,1,13,15,NA,NA,13,15,2,8,2,12,15,NA,NA,1.1194493293,1.4939306605,NA,NA,61,NA,61,NA,72,72,11,0
S172,6,4,NA,NA,1,2,13,5,NA,NA,13,5,2,2,-8,13,5,NA,NA,1.4021577193,-0.9903959959,NA,NA,64,NA,64,NA,42,42,-22,1
S173,6,4,NA,NA,2,2,NA,NA,5,6,5,6,1,6,1,NA,NA,5,5,NA,NA,-0.7924272198,-1.3174859283,NA,42,42,41,NA,41,-1,0
S174,6,4,NA,NA,1,2,8,9,NA,NA,8,9,2,7,1,8,8,NA,NA,-0.0113842305,-0.245097999,NA,NA,50,NA,50,NA,51,51,1,0
S175,6,4,NA,NA,1,2,9,8,NA,NA,9,8,2,7,-1,8,7,NA,NA,-0.0113842305,-0.4935306646,NA,NA,50,NA,50,NA,48,48,-2,0
S176,6,4,NA,NA,2,2,NA,NA,9,6,9,6,2,7,-3,NA,NA,9,5,NA,NA,0.4080892222,-1.3174859283,NA,54,54,41,NA,41,-13,0
S190,7,4,NA,NA,2,4,6,6,NA,NA,6,6,2,3,0,6,6,NA,NA,-0.5768010104,-0.7419633303,NA,NA,44,NA,44,NA,45,45,1,0
S191,7,4,NA,NA,1,4,NA,NA,9,6,9,6,2,3,-3,NA,NA,9,6,NA,NA,0.4080892222,-1.0465827566,NA,54,54,44,NA,44,-10,0
S192,7,4,NA,NA,2,4,6,3,NA,NA,6,3,2,7,-3,6,3,NA,NA,-0.5768010104,-1.4872613272,NA,NA,44,NA,44,NA,36,36,-8,0
S193,7,4,NA,NA,1,4,NA,NA,10,13,10,13,2,3,3,NA,NA,9,12,NA,NA,0.4080892222,0.5788362732,NA,54,54,61,NA,61,7,0
S205,8,4,NA,NA,1,4,10,6,NA,NA,10,6,1,7,-4,10,6,NA,NA,0.5540325494,-0.7419633303,NA,NA,56,NA,56,NA,45,45,-11,0
S206,8,4,NA,NA,2,4,NA,NA,9,9,9,9,1,3,0,NA,NA,8,9,NA,NA,0.1079601117,-0.2338732417,NA,51,51,53,NA,53,2,0
S207,8,4,NA,NA,1,4,12,6,NA,NA,12,6,1,3,-6,12,6,NA,NA,1.1194493293,-0.7419633303,NA,NA,61,NA,61,NA,45,45,-16,0
S224,9,4,NA,NA,1,2,7,9,NA,NA,7,9,2,8,2,7,9,NA,NA,-0.2940926204,0.0033346667,NA,NA,47,NA,47,NA,54,54,7,0
S225,9,4,NA,NA,2,2,NA,NA,3,10,3,10,2,6,7,NA,NA,3,10,NA,NA,-1.3926854409,0.0370299299,NA,36,36,56,NA,56,20,0
S226,9,4,NA,NA,1,2,13,13,NA,NA,13,13,2,7,0,13,13,NA,NA,1.4021577193,0.9970653292,NA,NA,64,NA,64,NA,66,66,2,0
S227,9,4,NA,NA,2,2,NA,NA,6,10,6,10,1,5,4,NA,NA,5,9,NA,NA,-0.7924272198,-0.2338732417,NA,42,42,53,NA,53,11,0
S244,10,4,NA,NA,1,2,15,11,NA,NA,15,11,1,7,-4,15,10,NA,NA,1.9675744992,0.2517673323,NA,NA,70,NA,70,NA,57,57,-13,0
S245,10,4,NA,NA,2,2,NA,NA,15,18,15,18,1,8,3,NA,NA,15,18,NA,NA,2.2088638853,2.204255303,NA,72,72,78,NA,78,6,0
S246,10,4,NA,NA,1,2,5,7,NA,NA,5,7,1,7,2,5,6,NA,NA,-0.8595094003,-0.7419633303,NA,NA,41,NA,41,NA,45,45,4,0
S247,10,4,NA,NA,2,2,NA,NA,6,5,6,5,2,3,-1,NA,NA,6,5,NA,NA,-0.4922981093,-1.3174859283,NA,45,45,41,NA,41,-4,0
S248,10,4,NA,NA,1,2,7,7,NA,NA,7,7,1,6,0,7,7,NA,NA,-0.2940926204,-0.4935306646,NA,NA,47,NA,47,NA,48,48,1,0
S264,11,4,NA,NA,1,2,11,9,NA,NA,11,9,1,7,-2,11,9,NA,NA,0.8367409394,0.0033346667,NA,NA,58,NA,58,NA,54,54,-4,0
S265,11,4,NA,NA,2,2,NA,NA,9,12,9,12,1,7,3,NA,NA,9,12,NA,NA,0.4080892222,0.5788362732,NA,54,54,61,NA,61,7,0
S266,11,4,NA,NA,1,2,9,9,NA,NA,9,9,2,7,0,8,8,NA,NA,-0.0113842305,-0.245097999,NA,NA,50,NA,50,NA,51,51,1,0
S267,11,4,NA,NA,2,2,NA,NA,12,17,12,17,2,7,5,NA,NA,12,17,NA,NA,1.3084765537,1.9333521314,NA,63,63,76,NA,76,13,0
