SubjID,Cond_code,Seq,FB,All_Items,Correct,Incorr,Remain,ElapTime,psgpH,psgpM,psgpL,EAPsgp,MAPsgp,pargH,pargM,pargL,EAParg,MAParg,pcrH,pcrM,pcrL,EAPcr,MAPcr,pdtH,pdtM,pdtL,EAPdt,MAPdt,pexaH,pexaM,pexaL,EAPexa,MAPexa,pexpH,pexpM,pexpL,EAPexp,MAPexp,pextH,pextM,pextL,EAPext,MAPext,pindH,pindM,pindL,EAPind,MAPind,pmodH,pmodM,pmodL,EAPmod,MAPmod,precH,precM,precL,EAPrec,MAPrec,ptabH,ptabM,ptabL,EAPtab,MAPtab,pverH,pverM,pverL,EAPver,MAPver,ppicH,ppicM,ppicL,EAPpic,MAPpic
S199,3,1,1,63,17,46,0,0.02555555556,0.000,0.002,0.998,1.998,1,0.000,0.003,0.997,1.997,1,0.07,0.599,0,1.26,2,0.098,0.227,0.675,1.577,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.983,1,0.23,0.73,0,0.82,2,0.001,0.041,0.958,1.96,1,0.004,0.088,0.907,1.903,1,0.008,0.228,0.764,1.757,1,0.179,0.476,0.345,1.167,2,0.004,0.131,0.865,1.860,1,0.000,0.01,0.986,1.985,1
S200,1,2,2,63,27,36,0,0.02028935185,0.007,0.447,0.546,1.540,1,0.012,0.060,0.928,1.917,1,0.50,0.425,0,0.58,3,0.153,0.264,0.582,1.429,1,0.000,0.033,0.966,1.966,1,0.004,0.065,0.93,1.928,1,0.57,0.42,0,0.45,3,0.031,0.170,0.799,1.77,1,0.036,0.241,0.723,1.687,1,0.374,0.530,0.096,0.723,2,0.162,0.472,0.365,1.203,2,0.041,0.247,0.712,1.671,1,0.000,0.05,0.955,1.954,1
S201,2,2,1,63,18,45,0,0.01930555556,0.000,0.064,0.936,1.936,1,0.000,0.002,0.998,1.998,1,0.86,0.139,0,0.14,3,0.105,0.232,0.662,1.557,1,0.000,0.013,0.987,1.987,1,0.000,0.007,0.99,1.993,1,0.16,0.78,0,0.91,2,0.002,0.055,0.943,1.94,1,0.000,0.016,0.984,1.984,1,0.001,0.102,0.897,1.896,1,0.005,0.124,0.871,1.866,1,0.006,0.151,0.843,1.836,1,0.000,0.02,0.981,1.981,1
S202,3,1,1,63,25,38,0,0.02444444444,0.001,0.311,0.689,1.688,1,0.000,0.014,0.985,1.985,1,0.89,0.105,0,0.11,3,0.135,0.253,0.612,1.477,1,0.000,0.025,0.974,1.974,1,0.000,0.004,1.00,1.996,1,0.60,0.40,0,0.41,3,0.001,0.041,0.958,1.96,1,0.040,0.240,0.720,1.680,1,0.347,0.552,0.102,0.755,2,0.040,0.311,0.649,1.609,1,0.000,0.028,0.971,1.971,1,0.000,0.02,0.981,1.981,1
S203,1,2,2,63,13,50,0,0.02210648148,0.000,0.001,0.999,1.999,1,0.000,0.010,0.989,1.989,1,0.02,0.402,1,1.56,1,0.097,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.020,0.191,0.79,1.770,1,0.00,0.33,1,1.67,1,0.003,0.067,0.930,1.93,1,0.001,0.034,0.966,1.965,1,0.002,0.104,0.895,1.893,1,0.000,0.039,0.961,1.960,1,0.013,0.211,0.777,1.764,1,0.003,0.12,0.882,1.879,1
S204,2,2,1,63,26,37,0,0.02201388889,0.001,0.196,0.803,1.802,1,0.000,0.010,0.989,1.989,1,0.53,0.433,0,0.50,3,0.121,0.243,0.635,1.514,1,0.026,0.216,0.758,1.732,1,0.000,0.023,0.98,1.976,1,0.28,0.67,0,0.77,2,0.001,0.040,0.959,1.96,1,0.006,0.100,0.895,1.889,1,0.140,0.579,0.281,1.141,2,0.063,0.365,0.571,1.508,1,0.001,0.051,0.948,1.947,1,0.018,0.23,0.749,1.731,1
S208,1,2,2,63,16,12,35,0.00000036169,0.536,0.459,0.006,0.470,3,0.029,0.131,0.839,1.810,1,0.98,0.019,0,0.02,3,0.266,0.323,0.411,1.145,1,0.695,0.260,0.045,0.350,3,0.007,0.056,0.94,1.930,1,0.97,0.03,0,0.03,3,0.187,0.409,0.404,1.22,2,0.229,0.475,0.296,1.067,2,0.270,0.403,0.328,1.058,2,0.749,0.210,0.041,0.292,3,0.200,0.400,0.401,1.201,1,0.045,0.30,0.657,1.612,1
S209,2,2,1,63,24,39,0,0.03092592593,0.012,0.321,0.667,1.655,1,0.002,0.045,0.953,1.951,1,0.15,0.421,0,1.28,1,0.139,0.255,0.606,1.467,1,0.128,0.381,0.491,1.363,1,0.000,0.003,1.00,1.997,1,0.40,0.57,0,0.63,2,0.095,0.349,0.556,1.46,1,0.125,0.349,0.526,1.401,1,0.050,0.427,0.522,1.472,1,0.227,0.484,0.290,1.063,2,0.266,0.479,0.255,0.989,2,0.001,0.07,0.932,1.931,1
S210,3,1,1,63,23,40,0,0.01918981481,0.000,0.055,0.945,1.945,1,0.001,0.020,0.979,1.978,1,0.04,0.406,1,1.52,1,0.104,0.232,0.664,1.560,1,0.000,0.012,0.988,1.987,1,0.000,0.008,0.99,1.992,1,0.75,0.24,0,0.25,3,0.004,0.062,0.933,1.93,1,0.007,0.107,0.886,1.879,1,0.349,0.549,0.101,0.752,2,0.082,0.389,0.529,1.448,1,0.009,0.157,0.834,1.825,1,0.001,0.05,0.946,1.945,1
S211,1,2,2,63,17,46,0,0.01535879630,0.000,0.002,0.998,1.998,1,0.000,0.003,0.997,1.997,1,0.07,0.599,0,1.26,2,0.098,0.227,0.675,1.578,1,0.000,0.010,0.990,1.990,1,0.000,0.017,0.98,1.982,1,0.33,0.65,0,0.70,2,0.001,0.031,0.968,1.97,1,0.000,0.016,0.984,1.984,1,0.008,0.227,0.765,1.757,1,0.147,0.456,0.398,1.251,2,0.002,0.094,0.904,1.902,1,0.000,0.03,0.973,1.973,1
S212,2,2,1,63,20,43,0,0.01682870370,0.000,0.009,0.991,1.991,1,0.001,0.013,0.986,1.985,1,0.08,0.597,0,1.25,2,0.098,0.228,0.674,1.575,1,0.000,0.010,0.990,1.990,1,0.000,0.021,0.98,1.979,1,0.39,0.60,0,0.63,2,0.003,0.061,0.935,1.93,1,0.001,0.034,0.965,1.964,1,0.141,0.579,0.280,1.139,2,0.006,0.141,0.852,1.846,1,0.010,0.186,0.804,1.793,1,0.007,0.17,0.825,1.818,1
S213,3,1,1,63,16,47,0,0.02170138889,0.000,0.013,0.987,1.987,1,0.000,0.003,0.997,1.997,1,0.22,0.650,0,0.92,2,0.099,0.228,0.673,1.574,1,0.000,0.010,0.990,1.990,1,0.000,0.022,0.98,1.978,1,0.09,0.82,0,1.01,2,0.001,0.038,0.962,1.96,1,0.000,0.006,0.994,1.994,1,0.008,0.228,0.764,1.757,1,0.000,0.031,0.969,1.969,1,0.003,0.113,0.884,1.881,1,0.000,0.04,0.963,1.963,1
S214,1,2,2,63,20,43,0,0.02315972222,0.000,0.129,0.871,1.870,1,0.000,0.006,0.993,1.993,1,0.29,0.591,0,0.83,2,0.113,0.238,0.649,1.536,1,0.001,0.040,0.959,1.958,1,0.000,0.030,0.97,1.969,1,0.21,0.73,0,0.85,2,0.012,0.135,0.853,1.84,1,0.105,0.329,0.566,1.460,1,0.001,0.103,0.896,1.894,1,0.003,0.102,0.894,1.891,1,0.042,0.329,0.629,1.587,1,0.004,0.12,0.873,1.869,1
S215,2,2,1,63,38,25,0,0.02703703704,0.761,0.238,0.001,0.239,3,0.007,0.075,0.918,1.911,1,1.00,0.002,0,0.00,3,0.287,0.330,0.384,1.097,1,0.775,0.209,0.016,0.241,3,0.000,0.012,0.99,1.988,1,1.00,0.00,0,0.00,3,0.089,0.389,0.522,1.43,1,0.081,0.423,0.496,1.414,1,0.172,0.565,0.263,1.092,2,0.568,0.370,0.062,0.493,3,0.074,0.318,0.608,1.534,1,0.327,0.49,0.186,0.859,2
S216,3,1,1,63,45,18,0,0.02372685185,0.968,0.032,0.000,0.032,3,0.071,0.266,0.663,1.592,1,1.00,0.001,0,0.00,3,0.305,0.335,0.359,1.054,1,0.837,0.157,0.006,0.169,3,0.007,0.113,0.88,1.873,1,1.00,0.00,0,0.00,3,0.361,0.435,0.204,0.84,2,0.610,0.348,0.042,0.433,3,0.500,0.429,0.071,0.570,3,0.503,0.413,0.084,0.581,3,0.339,0.422,0.240,0.901,2,0.574,0.37,0.052,0.478,3
S217,1,2,2,63,22,41,0,0.02443287037,0.002,0.362,0.636,1.633,1,0.000,0.011,0.988,1.988,1,0.62,0.356,0,0.41,3,0.142,0.257,0.601,1.459,1,0.000,0.028,0.971,1.971,1,0.001,0.047,0.95,1.951,1,0.39,0.59,0,0.64,2,0.013,0.148,0.840,1.83,1,0.061,0.284,0.655,1.595,1,0.009,0.230,0.761,1.752,1,0.002,0.078,0.920,1.918,1,0.029,0.261,0.710,1.681,1,0.001,0.06,0.938,1.937,1
